Navy,103.2,106.0,52.5,47.8,17.6,18.1,30.9,26.7,38.9,27.4,-3.7
Oregon St.,107.4,110.2,50.0,50.4,18.2,15.9,25.2,32.9,44.4,36.0,-6.8
Stony Brook,106.2,109.0,50.7,50.5,16.8,16.7,28.9,31.9,28.9,34.2,-5.7
Portland,105.9,108.8,50.7,53.2,19.2,17.7,28.4,32.4,35.2,35.1,-8.4
Lamar,106.7,109.7,48.9,50.8,17.8,17.8,36.4,29.3,27.6,45.1,-7.3
LIU,106.3,109.3,52.6,51.0,19.6,18.7,36.0,33.4,33.8,35.1,-4.0
Drake,108.6,111.8,51.6,51.4,14.5,15.3,26.0,29.4,36.5,34.5,-7.4
Cal St. Fullerton,106.4,109.5,50.8,55.6,15.6,19.9,25.2,30.2,39.4,35.9,-7.9
Indiana St.,106.3,109.5,52.2,49.8,18.9,14.7,24.9,31.6,29.6,28.5,-9.5
La Salle,105.4,108.8,46.1,54.2,19.0,17.0,34.1,32.2,36.8,29.1,-9.3
Weber St.,110.3,113.9,51.9,54.0,16.5,17.3,32.3,29.0,40.5,38.7,-8.0
Green Bay,113.0,116.8,54.7,55.8,16.3,13.1,24.8,29.4,43.3,38.6,-7.5
Robert Morris,109.7,113.5,53.9,51.7,19.0,15.8,37.9,28.7,29.5,44.9,-6.7
Bethune Cookman,104.4,108.1,50.5,50.9,18.7,16.2,28.0,32.1,38.2,39.0,-4.8
Eastern Michigan,104.1,107.8,49.7,50.6,17.4,16.7,28.4,29.1,31.3,34.2,-8.0
Dartmouth,107.1,111.2,53.0,50.5,18.1,13.7,26.0,31.3,36.9,29.2,-6.5
Campbell,110.6,114.8,50.1,56.6,18.3,17.1,32.6,31.9,44.8,38.6,-7.3
Queens,113.7,118.2,55.7,55.0,15.4,14.5,32.4,33.4,32.8,39.3,-5.9
Colgate,109.1,113.7,53.7,52.6,15.1,16.0,27.1,30.1,28.1,32.7,-5.7
Princeton,105.1,109.7,49.2,51.3,16.7,14.6,27.2,28.2,34.1,34.3,-9.8
Purdue Fort Wayne,106.1,110.8,52.5,55.0,14.0,19.8,22.1,36.2,28.2,27.7,-4.4
Ohio,106.3,111.0,50.6,52.7,16.9,17.9,29.3,34.0,37.0,37.4,-6.8
Wofford,110.0,115.0,51.6,53.0,14.0,15.3,31.5,30.5,37.0,35.2,-4.9
American,105.1,109.8,51.4,53.0,16.6,19.1,25.6,31.3,28.1,44.0,-6.5
South Alabama,103.8,108.5,51.5,48.6,13.6,18.4,26.0,32.3,39.6,20.8,-3.7
Detroit Mercy,109.4,114.4,48.4,53.7,16.7,14.1,34.8,31.2,32.1,40.0,-8.3
Eastern Washington,109.6,114.7,51.2,56.6,18.5,16.6,31.5,32.7,33.5,37.3,-11.8
Rice,109.2,114.4,48.5,52.3,18.0,16.9,35.1,35.1,36.9,40.4,-8.8
Florida Gulf Coast,108.7,114.0,52.7,53.2,16.9,16.5,31.6,30.4,30.8,40.9,-9.0
Monmouth,102.2,107.2,48.7,49.5,17.0,19.7,30.9,33.8,34.0,31.9,-8.6
Idaho St.,111.4,116.9,53.3,52.9,17.9,15.5,33.4,31.2,39.4,36.4,-8.3
James Madison,109.5,115.0,52.7,49.8,17.5,12.9,30.3,31.2,35.8,43.9,-7.9
San Jose St.,110.2,115.9,48.2,57.6,17.2,18.2,31.1,36.3,33.5,34.3,-9.0
Nicholls St.,105.3,110.9,50.3,54.7,17.4,21.7,27.6,35.1,35.4,40.8,-8.1
